Filer_ID,Filer_NamL,Report_Num,Committee_Type,Rpt_Date,From_Date,Thru_Date,Elect_Date,tblCover_Office_Cd,tblCover_Offic_Dscr,Rec_Type,Form_Type,Tran_ID,Entity_Cd,Payee_NamL,Payee_NamF,Payee_NamT,Payee_NamS,Payee_Adr1,Payee_Adr2,Payee_City,Payee_State,Payee_Zip4,Beg_Bal,Amt_Incur,Amt_Paid,End_Bal,Expn_Code,Expn_Dscr,Cmte_ID,Tres_NamL,Tres_NamF,Tres_NamT,Tres_NamS,Tres_Adr1,Tres_Adr2,Tres_City,Tres_ST,Tres_ZIP4,Memo_Code,Memo_RefNo,BakRef_TID,XRef_SchNm,XRef_Match
1361867,BRYAN PARKER FOR A SAFER OAKLAND BALLOT MEASURE COMMITTEE,000,RCP,01/31/2014,01/01/2013,12/31/2013,,,,DEBT,F,PAY1,OTH,SUTTON LAW FIRM,,,,,,SAN FRANCISCO,CA,94108,0.00,1539.68,0.00,1539.68,PRO,,,,,,,,,,,,,,,,
1361867,BRYAN PARKER FOR A SAFER OAKLAND BALLOT MEASURE COMMITTEE,000,RCP,01/31/2014,01/01/2013,12/31/2013,,,,DEBT,F,PAY2,OTH,SUTTON LAW FIRM,,,,,,SAN FRANCISCO,CA,94108,0.00,77.00,0.00,77.00,PRO,,,,,,,,,,,,,,,,
971695,Larry Reid for City Council,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,DEBT,F,PAY616,OTH,The Henry Levy Group,,,,,,Oakland,CA,94618,1114.90,0.00,0.00,1114.90,PRO,,,,,,,,,,,,,,,,
971695,Larry Reid for City Council,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,DEBT,F,PAY632,OTH,The Henry Levy Group,,,,,,Oakland,CA,94618,0.00,76.97,0.00,76.97,PRO,,,,,,,,,,,,,,,,
971695,Larry Reid for City Council,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,DEBT,F,PAY633,OTH,The Henry Levy Group,,,,,,Oakland,CA,94618,0.00,706.20,0.00,706.20,PRO,,,,,,,,,,,,,,,,
1361954,Dan Kalb City Council Officeholder Committee,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,DEBT,F,myaCgDwiJuzq,OTH,Sears Credit Cards (Mastercard),,,,,,Columbus,OH,43228,0.00,198.35,0.00,198.35,MTG,No expenses over $100,,,,,,,,,,,,,,,
1307016,Oakland Jobs PAC,000,RCP,01/18/2014,07/01/2013,12/31/2013,,,,DEBT,F,PAY351,OTH,"The McConnell Group, Inc.",,,,,,Danville,CA,94506,2175.00,0.00,0.00,2175.00,CNS,,,,,,,,,,,,,,,,
1307016,Oakland Jobs PAC,000,RCP,01/18/2014,07/01/2013,12/31/2013,,,,DEBT,F,PAY352,OTH,"The McConnell Group, Inc.",,,,,,Danville,CA,94506,4500.00,0.00,0.00,4500.00,CNS,,,,,,,,,,,,,,,,
1307016,Oakland Jobs PAC,000,RCP,01/18/2014,07/01/2013,12/31/2013,,,,DEBT,F,PAY353,OTH,"The McConnell Group, Inc.",,,,,,Danville,CA,94506,4500.00,0.00,0.00,4500.00,CNS,,,,,,,,,,,,,,,,
1307016,Oakland Jobs PAC,000,RCP,01/18/2014,07/01/2013,12/31/2013,,,,DEBT,F,PAY354,OTH,"The McConnell Group, Inc.",,,,,,Danville,CA,94506,4500.00,0.00,0.00,4500.00,CNS,,,,,,,,,,,,,,,,
