Filer_ID,Filer_NamL,Report_Num,Committee_Type,Rpt_Date,From_Date,Thru_Date,Elect_Date,tblCover_Office_Cd,tblCover_Offic_Dscr,Rec_Type,Form_Type,Tran_ID,Entity_Cd,Payee_NamL,Payee_NamF,Payee_NamT,Payee_NamS,Payee_Adr1,Payee_Adr2,Payee_City,Payee_State,Payee_Zip4,Expn_Date,Amount,Cum_YTD,Expn_ChkNo,Expn_Code,Expn_Dscr,Agent_NamL,Agent_NamF,Agent_NamT,Agent_NamS,Cmte_ID,Tres_NamL,Tres_NamF,Tres_NamT,Tres_NamS,Tres_Adr1,Tres_Adr2,Tres_City,Tres_ST,Tres_ZIP4,Cand_NamL,Cand_NamF,Cand_NamT,Cand_NamS,Office_Cd,Offic_Dscr,Juris_Cd,Juris_Dscr,Dist_No,Off_S_H_Cd,Bal_Name,Bal_Num,Bal_Juris,Sup_Opp_Cd,Memo_Code,Memo_RefNo,BakRef_TID,G_From_E_F,XRef_SchNm,XRef_Match
960997,Friends of Oakland Public Schools for Measure J,000,BMC,01/31/2014,07/01/2013,12/31/2013,,,,EXPN,E,EXP740,OTH,Henry C. Levy & Company,,,,,,Oakland,CA,94618-,09/13/2013,301.90,1341.90,,PRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,
960997,Friends of Oakland Public Schools for Measure J,000,BMC,01/31/2014,07/01/2013,12/31/2013,,,,EXPN,E,EXP744,OTH,The Organization and Leadership Academy,,,,,,Oakland,CA,94611,07/01/2013,250.00,250.00,,CVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,
COAK-1536,Committee to Elect Michael V. Johnson City Council 2014,000,CAO,01/31/2014,07/01/2013,12/31/2013,,,,EXPN,E,VN7VW9Q7SK5,OTH,Oak A Town Business,,,,,,,,,,200.00,,,,Campaign Logo Design,,,,,,,,,,,,,,,Johnson,Michael,Mr.,,,,,,,,,,,S,,,,,,
COAK-1536,Committee to Elect Michael V. Johnson City Council 2014,000,CAO,01/31/2014,07/01/2013,12/31/2013,,,,EXPN,E,VN7VW9Q7SM3,OTH,Oak A Town Business,,,,,,,,,,100.00,,,,Campaign Logo Design,,,,,,,,,,,,,,,Johnson,Michael,Mr.,,,,,,,,,,,S,,,,,,
COAK-1536,Committee to Elect Michael V. Johnson City Council 2014,000,CAO,01/31/2014,07/01/2013,12/31/2013,,,,EXPN,E,VN7VW9Q7SN1,OTH,Souls Restaurant,,,,,,Oakland,CA,94605-2029,,840.00,,,FND,Deposit for Venue - Campaign Kick-Off Event,,,,,,,,,,,,,,,Johnson,Michael,Mr.,,,,,,,,,,,S,,,,,,
COAK-1536,Committee to Elect Michael V. Johnson City Council 2014,000,CAO,01/31/2014,07/01/2013,12/31/2013,,,,EXPN,E,VN7VW9Q7TE9,OTH,Carmichael Images,,,,,,,,,,550.00,,,PRO,Campaign Photography,,,,,,,,,,,,,,,Johnson,Michael,Mr.,,,,,,,,,,,S,,,,,,
COAK-1536,Committee to Elect Michael V. Johnson City Council 2014,000,CAO,01/31/2014,07/01/2013,12/31/2013,,,,EXPN,E,VN7VW9Q7SR5,OTH,Souls Restaurant,,,,,,Oakland,CA,94605-2029,,838.60,,,FND,Final Payment for Venue - Campaign Kick-Off Event,,,,,,,,,,,,,,,Johnson,Michael,Mr.,,,,,,,,,,,S,,,,,,
COAK-1536,Committee to Elect Michael V. Johnson City Council 2014,000,CAO,01/31/2014,07/01/2013,12/31/2013,,,,EXPN,E,VN7VW9Q7Y98,OTH,NGP Van Inc,,,,,,,,,,150.00,,,WEB,Campaign Internet Website and Database Platform,,,,,,,,,,,,,,,Johnson,Michael,Mr.,,,,,,,,,,,S,,,,,,
COAK-1536,Committee to Elect Michael V. Johnson City Council 2014,000,CAO,01/31/2014,07/01/2013,12/31/2013,,,,EXPN,E,VN7VW9Q7X54,OTH,The Print Shop,,,,,,,,,,100.00,,,LIT,Campaign Materials,,,,,,,,,,,,,,,Johnson,Michael,Mr.,,,,,,,,,,,S,,,,,,
COAK-1536,Committee to Elect Michael V. Johnson City Council 2014,000,CAO,01/31/2014,07/01/2013,12/31/2013,,,,EXPN,E,VN7VW9Q7ZE9,OTH,The Print Shop,,,,,,,,,,100.00,,,LIT,Campaign Materials,,,,,,,,,,,,,,,Johnson,Michael,Mr.,,,,,,,,,,,S,,,,,,
COAK-1536,Committee to Elect Michael V. Johnson City Council 2014,000,CAO,01/31/2014,07/01/2013,12/31/2013,,,,EXPN,E,VN7VW9Q7XJ7,OTH,The Print Shop,,,,,,,,,,20.00,,,LIT,Campaign Materials,,,,,,,,,,,,,,,Johnson,Michael,Mr.,,,,,,,,,,,S,,,,,,
COAK-1536,Committee to Elect Michael V. Johnson City Council 2014,000,CAO,01/31/2014,07/01/2013,12/31/2013,,,,EXPN,E,VN7VW9Q7YC2,OTH,NGP Van Inc,,,,,,,,,,150.00,,,WEB,Campaign Internet Website and Database Platform,,,,,,,,,,,,,,,Johnson,Michael,Mr.,,,,,,,,,,,S,,,,,,
